id,sample,session,elec_pattern,extra_dir,extra_sess,extra_delay
5,20180425-1,5,0,20180425,e002_04251532,0
9,20180425-1,9,0,20180425,e006_04251612,0
21,20180426-1,6,1,20180426,e001_04261048,0
25,20180426-1,10,3,20180426,e004_04261058,136
28,20180426-1,13,4,20180426,e007_04261105,0
50,20180612-1,6,6,20180612,e001_06121525,136
52,20180612-1,8,7,20180612,e003_06121541,0
54,20180612-1,10,8,20180612,e005_06121551,136
57,20180612-1,13,9,20180612,e008_06121610,0
64,20180614-1,5,10,20180614,e001_06141447,0
66,20180614-1,7,10,20180614,e003_06141451,136
67,20180614-1,8,10,20180614,e004_06141453,0
68,20180614-1,9,10,20180614,e005_06141455,0
69,20180614-1,10,11,20180614,e006_06141501,0
80,20180731-1,5,13,20180731,e003_07311201,136
81,20180731-1,6,14,20180731,e004_07311208,0
88,20180731-1,13,15,20180731,e010_07311237,0
93,20180731-1,18,19,20180731,e015_07311256,0
95,20180731-1,20,20,20180731,e017_07311314,136
98,20180731-1,23,21,20180731,e020_07311320,136
100,20180731-1,25,22,20180731,e022_07311324,0
101,20180731-1,26,22,20180731,e023_07311327,136
102,20180731-1,27,22,20180731,e024_07311328,0
103,20180731-1,28,22,20180731,e025_07311329,0
105,20180731-1,30,22,20180731,e027_07311332,136
106,20180731-1,31,22,20180731,e028_07311334,0
118,20181120-1,6,23,20181120,e006_11201522,0
120,20181120-1,8,24,20181120,e008_11201612,0
124,20181120-1,12,26,20181120,e012_11201652,0
128,20181120-1,16,27,20181120,e016_11201750,136
138,20181122-1,10,28,20181122,e008_11221121,0
148,20181122-1,20,35,20181122,e018_11221237,136
150,20181122-1,22,37,20181122,e020_11221302,0
160,20190123-1,4,39,20190123,e004_01231521,136
165,20190123-1,9,40,20190123,e011_01231549,136
168,20190123-1,12,41,20190123,e012_01231626,136
172,20190123-1,16,43,20190123,e016_01231709,136
174,20190123-1,18,44,20190123,e018_01231713,136
176,20190123-1,20,44,20190123,e020_01231716,136
178,20190123-1,22,44,20190123,e022_01231720,136
180,20190123-1,24,44,20190123,e024_01231722,136
181,20190123-1,25,44,20190123,e025_01231725,136
