sample,session,elec_pattern,extra_path
20180425-1,5,0,20180425_rabbit3/ExTRa/e002_1532VT
20180425-1,9,0,20180425_rabbit3/ExTRa/e006_1612VT
20180425-1,12,0,20180425_rabbit3/ExTRa/e009_1630VT
20180426-1,6,1,20180426_rabbit4/ExTRa/e001_1048VT
20180426-1,10,3,20190628/e004_1058VT
20180426-1,13,4,20180426_rabbit4/ExTRa/e007_1105VT
20180426-1,19,5,20180426_rabbit4/ExTRa/e011_1122VT
20180426-1,21,5,20180426_rabbit4/ExTRa/e013_1139VT
20180612-1,6,6,20180612_rabbit5/ExTRa/
20180612-1,8,7,20180612_rabbit5/ExTRa/e003_1541VT
20180612-1,10,8,20180612_rabbit5/ExTRa/
20180612-1,13,9,20180612_rabbit5/ExTRa/e008_1610VT
20180614-1,5,10,20180614_rabbit6/ExTRa/e001_1447VT
20180614-1,7,10,20180614_rabbit6/ExTRa/
20180614-1,8,10,20180614_rabbit6/ExTRa/e004_1453VT
20180614-1,9,10,20180614_rabbit6/ExTRa/e005_1455VT
20180614-1,10,11,20180614_rabbit6/ExTRa/e006_1501VT
20180614-1,12,12,20180614_rabbit6/ExTRa/e007_1544VT
20180614-1,14,12,20180614_rabbit6/ExTRa/e009_1556VT
20180731-1,5,13,20180731/ExTRa/
20180731-1,6,14,20180731/ExTRa/e004_1208VT
20180731-1,13,15,20180731/ExTRa/e010_1237VT
20180731-1,18,19,20180731/ExTRa/e015_1256VT
20180731-1,20,20,20190628/e017_1314VT
20180731-1,23,21,20180731/ExTRa/
20180731-1,25,22,20180731/ExTRa/e022_1324VT
20180731-1,26,22,20180731/ExTRa/
20180731-1,27,22,20180731/ExTRa/e024_1328VT
20180731-1,28,22,20180731/ExTRa/e025_1329VT
20180731-1,30,22,20190628/e027_1332VT
20180731-1,31,22,20180731/ExTRa/e028_1334VT
20180731-1,32,22,20180731/ExTRa/
20180731-1,33,22,20180731/ExTRa/e030_1338VT
20180731-1,35,22,20180731/ExTRa/e032_1340VT
20180731-1,36,22,20180731/ExTRa/
20180731-1,37,22,20180731/ExTRa/e034_1343VT
20181120-1,6,23,20181120/e006_1522VT
20181120-1,8,24,20181120/e008_1612VT
20181120-1,12,26,20181120/e012_1652VT
20181120-1,16,27,20181120/
20181122-1,10,28,20181122/e008_1121VT
20181122-1,20,35,20190628/e018_11221237
20181122-1,22,37,20181122/e020_1302VT
20181122-1,25,38,20181122/e023_1328VT
20181122-1,27,38,20181122/e025_1338VT
20190123-1,4,39,20190320/e004_01231521
20190123-1,9,40,20190320/
20190123-1,12,41,20190320/
20190123-1,16,43,20190320/
20190123-1,18,44,20190320/
20190123-1,20,44,20190320/
20190123-1,22,44,20190320/
20190123-1,24,44,20190320/
20190123-1,25,44,20190320/
20190123-1,26,44,20190320/
20190123-1,28,44,20190320/
20190123-1,30,44,20190320/
20190123-1,31,44,20190320/
